1021165,Bidirection,3.9375,4.0000,3.6875,3.3750,3.0625,2.7500,3.2500,3.7500,4.2500,4.7500,5.5625,6.3750,7.1875,8.0000,7.6250,7.2500,6.8750,6.5000,5.6250,4.7500,3.8750,3.0000,2.9375,2.8750
1020020,Bidirection,6.0000,6.0000,6.4375,6.8750,7.3125,7.7500,7.4375,7.1250,6.8125,6.5000,7.1250,7.7500,8.3750,9.0000,7.6875,6.3750,5.0625,3.7500,3.3125,2.8750,2.4375,2.0000,2.0000,2.0000
1003649,Single,9.0000,9.0000,9.2500,9.5000,9.7500,10.0000,9.8750,9.7500,9.6250,9.5000,9.1250,8.7500,8.3750,8.0000,6.9375,5.8750,4.8125,3.7500,3.6250,3.5000,3.3750,3.2500,3.2500,3.2500
1015939,Bidirection,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0625,0.1250,0.1875,0.2500,0.1875,0.1250,0.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2181,Bidirection,10.5000,10.5000,10.5625,10.6250,10.6875,10.7500,10.9375,11.1250,11.3125,11.5000,12.3125,13.1250,13.9375,14.7500,14.6875,14.6250,14.5625,14.5000,13.6250,12.7500,11.8750,11.0000,11.0000,11.0000
1007750,Bidirection,3.3125,3.0000,2.8750,2.7500,2.6250,2.5000,2.8125,3.1250,3.4375,3.7500,3.6875,3.6250,3.5625,3.5000,3.1250,2.7500,2.3750,2.0000,2.0000,2.0000,2.0000,2.0000,1.6875,1.3750
8256,Bidirection,3.9375,3.7500,3.6875,3.6250,3.5625,3.5000,3.4375,3.3750,3.3125,3.2500,3.8750,4.5000,5.1250,5.7500,4.9375,4.1250,3.3125,2.5000,2.0000,1.5000,1.0000,0.5000,0.6250,0.7500
1003659,Single,20.2500,20.2500,21.3125,22.3750,23.4375,24.5000,24.9375,25.3750,25.8125,26.2500,25.7500,25.2500,24.7500,24.2500,23.1250,22.0000,20.8750,19.7500,19.3750,19.0000,18.6250,18.2500,18.2500,18.2500
2596,Bidirection,11.8125,11.0000,10.4375,9.8750,9.3125,8.7500,9.3750,10.0000,10.6250,11.2500,10.6875,10.1250,9.5625,9.0000,8.1875,7.3750,6.5625,5.7500,5.6250,5.5000,5.3750,5.2500,4.8750,4.5000
6290,Bidirection,13.1250,14.0000,12.8125,11.6250,10.4375,9.2500,9.7500,10.2500,10.7500,11.2500,11.6250,12.0000,12.3750,12.7500,12.6250,12.5000,12.3750,12.2500,10.5000,8.7500,7.0000,5.2500,5.0625,4.8750
1003667,Single,13.5625,13.0000,13.6875,14.3750,15.0625,15.7500,15.0000,14.2500,13.5000,12.7500,13.2500,13.7500,14.2500,14.7500,14.3125,13.8750,13.4375,13.0000,11.3750,9.7500,8.1250,6.5000,6.1250,5.7500
8340,Bidirection,1.2500,1.2500,1.3750,1.5000,1.6250,1.7500,2.4375,3.1250,3.8125,4.5000,5.7500,7.0000,8.2500,9.5000,7.8125,6.1250,4.4375,2.7500,2.3125,1.8750,1.4375,1.0000,0.9375,0.8750
1007765,Bidirection,8.2500,8.2500,8.3125,8.3750,8.4375,8.5000,8.2500,8.0000,7.7500,7.5000,7.8750,8.2500,8.6250,9.0000,8.1875,7.3750,6.5625,5.7500,5.0000,4.2500,3.5000,2.7500,2.7500,2.7500
8344,Single,14.2500,14.2500,13.1250,12.0000,10.8750,9.7500,10.0000,10.2500,10.5000,10.7500,10.5000,10.2500,10.0000,9.7500,9.3125,8.8750,8.4375,8.0000,7.3125,6.6250,5.9375,5.2500,5.2500,5.2500
8345,Bidirection,2.8125,3.2500,2.8750,2.5000,2.1250,1.7500,2.3125,2.8750,3.4375,4.0000,3.7500,3.5000,3.2500,3.0000,2.3125,1.6250,0.9375,0.2500,0.1875,0.1250,0.0625,0.0000,0.0625,0.1250
2415,Bidirection,7.7500,7.7500,8.0625,8.3750,8.6875,9.0000,8.7500,8.5000,8.2500,8.0000,7.9375,7.8750,7.8125,7.7500,7.1250,6.5000,5.8750,5.2500,4.9375,4.6250,4.3125,4.0000,4.0000,4.0000
1011868,Single,25.0000,25.0000,25.6250,26.2500,26.8750,27.5000,26.9375,26.3750,25.8125,25.2500,25.2500,25.2500,25.2500,25.2500,22.5000,19.7500,17.0000,14.2500,13.3750,12.5000,11.6250,10.7500,10.7500,10.7500
1003678,Single,23.5000,23.5000,22.0625,20.6250,19.1875,17.7500,20.0000,22.2500,24.5000,26.7500,25.8125,24.8750,23.9375,23.0000,22.1250,21.2500,20.3750,19.5000,18.2500,17.0000,15.7500,14.5000,14.5000,14.5000
1009825,Bidirection,2.8125,3.2500,3.3750,3.5000,3.6250,3.7500,4.3125,4.8750,5.4375,6.0000,5.7500,5.5000,5.2500,5.0000,4.5625,4.1250,3.6875,3.2500,2.7500,2.2500,1.7500,1.2500,1.1875,1.1250
6552,Single,88.2500,91.7500,92.3125,92.8750,93.4375,94.0000,94.7500,95.5000,96.2500,97.0000,93.4375,89.8750,86.3125,82.7500,77.1250,71.5000,65.8750,60.2500,59.0000,57.7500,56.5000,55.2500,53.3750,51.5000
1020067,Bidirection,0.8125,0.7500,0.6875,0.6250,0.5625,0.5000,0.5625,0.6250,0.6875,0.7500,0.6250,0.5000,0.3750,0.2500,0.5625,0.8750,1.1875,1.5000,1.4375,1.3750,1.3125,1.2500,1.1250,1.0000
10371,Single,22.1250,21.7500,20.8125,19.8750,18.9375,18.0000,17.5000,17.0000,16.5000,16.0000,16.6250,17.2500,17.8750,18.5000,17.6875,16.8750,16.0625,15.2500,14.8125,14.3750,13.9375,13.5000,12.1875,10.8750
16554,Single,34.2500,35.2500,34.0625,32.8750,31.6875,30.5000,31.0625,31.6250,32.1875,32.7500,31.3750,30.0000,28.6250,27.2500,25.9375,24.6250,23.3125,22.0000,21.3125,20.6250,19.9375,19.2500,18.2500,17.2500
1007790,Bidirection,5.1250,5.5000,4.5625,3.6250,2.6875,1.7500,1.5625,1.3750,1.1875,1.0000,1.3750,1.7500,2.1250,2.5000,2.1250,1.7500,1.3750,1.0000,1.0625,1.1250,1.1875,1.2500,1.2500,1.2500
2227,Bidirection,10.2500,10.2500,9.1875,8.1250,7.0625,6.0000,6.1875,6.3750,6.5625,6.7500,6.9375,7.1250,7.3125,7.5000,7.4375,7.3750,7.3125,7.2500,6.4375,5.6250,4.8125,4.0000,4.0000,4.0000
1009844,Bidirection,0.6250,0.7500,0.8750,1.0000,1.1250,1.2500,1.3125,1.3750,1.4375,1.5000,1.2500,1.0000,0.7500,0.5000,0.6250,0.7500,0.8750,1.0000,0.8750,0.7500,0.6250,0.5000,0.3750,0.2500
18614,Bidirection,5.9375,6.7500,5.9375,5.1250,4.3125,3.5000,3.3750,3.2500,3.1250,3.0000,3.6250,4.2500,4.8750,5.5000,5.3750,5.2500,5.1250,5.0000,5.1250,5.2500,5.3750,5.5000,5.3750,5.2500
1007804,Bidirection,9.0000,9.0000,8.6250,8.2500,7.8750,7.5000,7.7500,8.0000,8.2500,8.5000,8.9375,9.3750,9.8125,10.2500,10.5625,10.8750,11.1875,11.5000,9.8125,8.1250,6.4375,4.7500,4.7500,4.7500
18622,Single,19.6875,24.2500,26.4375,28.6250,30.8125,33.0000,37.5625,42.1250,46.6875,51.2500,51.3125,51.3750,51.4375,51.5000,48.3750,45.2500,42.1250,39.0000,34.0625,29.1250,24.1875,19.2500,17.6250,16.0000
16575,Single,53.3125,53.5000,54.7500,56.0000,57.2500,58.5000,58.6875,58.8750,59.0625,59.2500,60.5625,61.8750,63.1875,64.5000,64.3750,64.2500,64.1250,64.0000,61.6875,59.3750,57.0625,54.7500,49.6875,44.6250
16305,Bidirection,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1250,0.2500,0.3750,0.5000,0.5000,0.5000,0.5000,0.5000,0.5625,0.6250,0.6875,0.7500,0.6875,0.6250
4290,Single,53.7500,53.7500,55.3750,57.0000,58.6250,60.2500,59.1875,58.1250,57.0625,56.0000,53.4375,50.8750,48.3125,45.7500,43.1250,40.5000,37.8750,35.2500,31.1250,27.0000,22.8750,18.7500,18.7500,18.7500
1005764,Single,10.0000,10.0000,10.5000,11.0000,11.5000,12.0000,11.7500,11.5000,11.2500,11.0000,11.4375,11.8750,12.3125,12.7500,12.9375,13.1250,13.3125,13.5000,12.1875,10.8750,9.5625,8.2500,8.2500,8.2500
1007815,Bidirection,0.8125,0.7500,0.6250,0.5000,0.3750,0.2500,0.3750,0.5000,0.6250,0.7500,1.1250,1.5000,1.8750,2.2500,2.0625,1.8750,1.6875,1.5000,1.2500,1.0000,0.7500,0.5000,0.4375,0.3750
1018057,Single,30.2500,29.7500,31.0000,32.2500,33.5000,34.7500,33.7500,32.7500,31.7500,30.7500,30.6250,30.5000,30.3750,30.2500,27.8750,25.5000,23.1250,20.7500,18.4375,16.1250,13.8125,11.5000,11.0000,10.5000
12491,Bidirection,4.7500,4.7500,4.8125,4.8750,4.9375,5.0000,4.3125,3.6250,2.9375,2.2500,2.3125,2.3750,2.4375,2.5000,2.8750,3.2500,3.6250,4.0000,3.8125,3.6250,3.4375,3.2500,3.2500,3.2500
1002530,Single,5.0000,5.0000,5.2500,5.5000,5.7500,6.0000,6.3750,6.7500,7.1250,7.5000,6.8750,6.2500,5.6250,5.0000,6.0625,7.1250,8.1875,9.2500,7.5625,5.8750,4.1875,2.5000,2.5000,2.5000
6353,Bidirection,5.0000,4.2500,4.3125,4.3750,4.4375,4.5000,4.0000,3.5000,3.0000,2.5000,3.3125,4.1250,4.9375,5.7500,5.4375,5.1250,4.8125,4.5000,3.8125,3.1250,2.4375,1.7500,1.6250,1.5000
3107,Single,6.6875,6.2500,6.4375,6.6250,6.8125,7.0000,6.5000,6.0000,5.5000,5.0000,5.0625,5.1250,5.1875,5.2500,5.3125,5.3750,5.4375,5.5000,4.8125,4.1250,3.4375,2.7500,2.9375,3.1250
1007828,Single,9.5625,9.2500,10.0625,10.8750,11.6875,12.5000,12.0625,11.6250,11.1875,10.7500,10.3125,9.8750,9.4375,9.0000,8.1875,7.3750,6.5625,5.7500,5.3750,5.0000,4.6250,4.2500,4.6875,5.1250
6357,Single,7.4375,7.5000,7.2500,7.0000,6.7500,6.5000,7.0625,7.6250,8.1875,8.7500,7.8125,6.8750,5.9375,5.0000,4.3750,3.7500,3.1250,2.5000,2.7500,3.0000,3.2500,3.5000,3.4375,3.3750
1005783,Bidirection,14.6875,13.2500,13.8125,14.3750,14.9375,15.5000,15.4375,15.3750,15.3125,15.2500,14.1875,13.1250,12.0625,11.0000,9.7500,8.5000,7.2500,6.0000,6.1875,6.3750,6.5625,6.7500,5.6250,4.5000
1003737,Bidirection,1.5000,1.2500,1.3750,1.5000,1.6250,1.7500,1.8125,1.8750,1.9375,2.0000,1.6875,1.3750,1.0625,0.7500,1.5625,2.3750,3.1875,4.0000,3.4375,2.8750,2.3125,1.7500,1.5000,1.2500
2268,Bidirection,16.5000,16.5000,16.4375,16.3750,16.3125,16.2500,16.5000,16.7500,17.0000,17.2500,17.2500,17.2500,17.2500,17.2500,17.3750,17.5000,17.6250,17.7500,17.1250,16.5000,15.8750,15.2500,15.2500,15.2500
1005790,Single,15.0000,15.0000,16.4375,17.8750,19.3125,20.7500,20.6250,20.5000,20.3750,20.2500,18.8750,17.5000,16.1250,14.7500,13.4375,12.1250,10.8125,9.5000,9.1875,8.8750,8.5625,8.2500,8.2500,8.2500
13510,Bidirection,1.7500,1.7500,2.0000,2.2500,2.5000,2.7500,2.7500,2.7500,2.7500,2.7500,2.5625,2.3750,2.1875,2.0000,1.8125,1.6250,1.4375,1.2500,1.0000,0.7500,0.5000,0.2500,0.2500,0.2500
